Día, Mes, Año de H_Fecha;Hora de H_Fecha;Aut Nombre;Disp Nombre;Disp Ubicacion;Seccion Sentido;Disp Lat;Disp Lng;H_Cant_Veh
01/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;654
01/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2675
01/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3260
01/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2017
01/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1152
01/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1104
01/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;966
01/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;813
01/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;758
01/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;857
01/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1056
01/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1435
01/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1725
01/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1890
01/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1720
01/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2012
01/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2378
01/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2925
01/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3260
01/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3191
01/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3023
01/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2724
01/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2041
01/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1846
02/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1634
02/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1305
02/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;719
02/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;572
02/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;745
02/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1406
02/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1547
02/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1533
02/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1690
02/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2080
02/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2433
02/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2785
02/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3062
02/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2957
02/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2836
02/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3175
02/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3591
02/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4184
02/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4578
02/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4886
02/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4776
02/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3875
02/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3487
02/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3157
03/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1810
03/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1058
03/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;668
03/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;642
03/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;989
03/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2231
03/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4095
03/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6376
03/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6604
03/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6474
03/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5881
03/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5415
03/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5058
03/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5195
03/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4620
03/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4440
03/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4340
03/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4689
03/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4387
03/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3399
03/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3021
03/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2401
03/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1785
03/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1333
04/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1008
04/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;591
04/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;424
